gender,age_group,run,patients,patients_with_ddi
Female,35-39,85,588178,89795
Female,35-39,86,588178,28279
Female,35-39,87,588178,12510
Female,35-39,88,588178,18842
Female,35-39,89,588178,7602
Female,35-39,90,588178,5814
Female,35-39,91,588178,16629
Female,35-39,92,588178,59405
Female,35-39,93,588178,11200
Female,35-39,94,588178,13043
Female,35-39,95,588178,26648
Female,35-39,96,588178,13524
Female,35-39,97,588178,7379
Female,35-39,98,588178,18630
Female,35-39,99,588178,6345
Female,35-39,100,588178,10629
Female,40-44,1,568773,23006
Female,40-44,2,568773,104150
Female,40-44,3,568773,13987
Female,40-44,4,568773,40865
Female,40-44,5,568773,7691
Female,40-44,6,568773,19081
Female,40-44,7,568773,40563
Female,40-44,8,568773,16400
Female,40-44,9,568773,21287
Female,40-44,10,568773,20010
Female,40-44,11,568773,21065
Female,40-44,12,568773,17937
Female,40-44,13,568773,15751
Female,40-44,14,568773,23593
Female,40-44,15,568773,27671
Female,40-44,16,568773,23375
Female,40-44,17,568773,9546
Female,40-44,18,568773,13500
Female,40-44,19,568773,25555
Female,40-44,20,568773,13407
Female,40-44,21,568773,28365
Female,40-44,22,568773,14608
Female,40-44,23,568773,37778
Female,40-44,24,568773,15458
Female,40-44,25,568773,31012
Female,40-44,26,568773,26840
Female,40-44,27,568773,26641
Female,40-44,28,568773,15643
Female,40-44,29,568773,73535
Female,40-44,30,568773,9279
Female,40-44,31,568773,29857
Female,40-44,32,568773,9215
Female,40-44,33,568773,58124
Female,40-44,34,568773,9047
Female,40-44,35,568773,16141
Female,40-44,36,568773,10609
Female,40-44,37,568773,19258
Female,40-44,38,568773,8700
Female,40-44,39,568773,14701
Female,40-44,40,568773,25322
Female,40-44,41,568773,28552
Female,40-44,42,568773,14753
Female,40-44,43,568773,46372
Female,40-44,44,568773,17941
Female,40-44,45,568773,10517
Female,40-44,46,568773,21795
Female,40-44,47,568773,31708
Female,40-44,48,568773,16069
Female,40-44,49,568773,33327
Female,40-44,50,568773,15682
Female,40-44,51,568773,21751
Female,40-44,52,568773,10720
Female,40-44,53,568773,10461
Female,40-44,54,568773,15389
Female,40-44,55,568773,12860
Female,40-44,56,568773,9303
Female,40-44,57,568773,17553
Female,40-44,58,568773,32471
Female,40-44,59,568773,8635
Female,40-44,60,568773,40449
Female,40-44,61,568773,32036
Female,40-44,62,568773,20615
Female,40-44,63,568773,20196
Female,40-44,64,568773,48897
Female,40-44,65,568773,15877
Female,40-44,66,568773,5554
Female,40-44,67,568773,33627
Female,40-44,68,568773,71461
Female,40-44,69,568773,40874
Female,40-44,70,568773,26327
Female,40-44,71,568773,20901
Female,40-44,72,568773,20461
Female,40-44,73,568773,51236
Female,40-44,74,568773,29218
Female,40-44,75,568773,37017
Female,40-44,76,568773,33029
Female,40-44,77,568773,26730
Female,40-44,78,568773,8714
Female,40-44,79,568773,10041
Female,40-44,80,568773,16782
Female,40-44,81,568773,25775
Female,40-44,82,568773,29621
Female,40-44,83,568773,25078
Female,40-44,84,568773,14600
Female,40-44,85,568773,80033
Female,40-44,86,568773,32686
Female,40-44,87,568773,13561
Female,40-44,88,568773,23252
Female,40-44,89,568773,8700
Female,40-44,90,568773,7221
Female,40-44,91,568773,18352
Female,40-44,92,568773,59453
Female,40-44,93,568773,15085
Female,40-44,94,568773,15153
Female,40-44,95,568773,29962
Female,40-44,96,568773,16175
Female,40-44,97,568773,9695
Female,40-44,98,568773,21020
Female,40-44,99,568773,8960
Female,40-44,100,568773,13289
Female,45-49,1,529178,27577
Female,45-49,2,529178,93764
Female,45-49,3,529178,14498
Female,45-49,4,529178,39531
Female,45-49,5,529178,8016
Female,45-49,6,529178,19928
Female,45-49,7,529178,43005
Female,45-49,8,529178,20767
Female,45-49,9,529178,23004
Female,45-49,10,529178,26224
Female,45-49,11,529178,24901
Female,45-49,12,529178,20035
Female,45-49,13,529178,19742
Female,45-49,14,529178,24892
Female,45-49,15,529178,29810
Female,45-49,16,529178,29655
Female,45-49,17,529178,9982
Female,45-49,18,529178,17711
Female,45-49,19,529178,29204
Female,45-49,20,529178,17677
Female,45-49,21,529178,31414
Female,45-49,22,529178,17568
Female,45-49,23,529178,40333
Female,45-49,24,529178,18066
Female,45-49,25,529178,36001
Female,45-49,26,529178,29913
Female,45-49,27,529178,29076
Female,45-49,28,529178,21305
Female,45-49,29,529178,74218
Female,45-49,30,529178,10541
Female,45-49,31,529178,36330
Female,45-49,32,529178,10938
Female,45-49,33,529178,63418
Female,45-49,34,529178,11017
Female,45-49,35,529178,19815
Female,45-49,36,529178,12507
Female,45-49,37,529178,21280
Female,45-49,38,529178,12141
Female,45-49,39,529178,17306
Female,45-49,40,529178,26734
Female,45-49,41,529178,30360
Female,45-49,42,529178,18671
Female,45-49,43,529178,57519
Female,45-49,44,529178,17989
Female,45-49,45,529178,14864
Female,45-49,46,529178,23579
Female,45-49,47,529178,36425
Female,45-49,48,529178,18671
Female,45-49,49,529178,38785
Female,45-49,50,529178,20545
Female,45-49,51,529178,24608
Female,45-49,52,529178,13430
Female,45-49,53,529178,13028
Female,45-49,54,529178,19209
Female,45-49,55,529178,15001
Female,45-49,56,529178,10411
Female,45-49,57,529178,20956
Female,45-49,58,529178,35953
Female,45-49,59,529178,9996
Female,45-49,60,529178,43430
Female,45-49,61,529178,33822
Female,45-49,62,529178,23381
Female,45-49,63,529178,22628
Female,45-49,64,529178,51789
Female,45-49,65,529178,17784
Female,45-49,66,529178,6875
Female,45-49,67,529178,35936
Female,45-49,68,529178,73568
Female,45-49,69,529178,48906
Female,45-49,70,529178,29813
Female,45-49,71,529178,23073
Female,45-49,72,529178,24609
Female,45-49,73,529178,52375
Female,45-49,74,529178,30761
Female,45-49,75,529178,40468
Female,45-49,76,529178,39086
Female,45-49,77,529178,30673
Female,45-49,78,529178,9556
Female,45-49,79,529178,11183
Female,45-49,80,529178,17609
Female,45-49,81,529178,27851
Female,45-49,82,529178,33515
Female,45-49,83,529178,28279
Female,45-49,84,529178,17614
Female,45-49,85,529178,77273
Female,45-49,86,529178,35525
Female,45-49,87,529178,15591
Female,45-49,88,529178,30031
Female,45-49,89,529178,9972
Female,45-49,90,529178,9318
Female,45-49,91,529178,20775
Female,45-49,92,529178,58116
Female,45-49,93,529178,20337
Female,45-49,94,529178,18644
Female,45-49,95,529178,34560
Female,45-49,96,529178,19410
Female,45-49,97,529178,11802
Female,45-49,98,529178,24133
Female,45-49,99,529178,12663
Female,45-49,100,529178,15845
Female,50-54,1,503043,33952
Female,50-54,2,503043,92092
Female,50-54,3,503043,17604
Female,50-54,4,503043,39939
Female,50-54,5,503043,9101
Female,50-54,6,503043,21978
Female,50-54,7,503043,46600
Female,50-54,8,503043,26829
Female,50-54,9,503043,24588
Female,50-54,10,503043,35265
Female,50-54,11,503043,32036
Female,50-54,12,503043,23464
Female,50-54,13,503043,24324
Female,50-54,14,503043,27140
